ID,Nombre,Estado,Longitud,Latitud
NA,Isabela,Bueno,NA,NA
311001,Batey Excabacion,Malo,-69.40146699345563,18.630605745336812
532001,Puerto Escondido,Bueno,-71.58066169823489,18.32453801331089
NA,El Millo,Malo,-71.34921893576211,18.547154672665815
230001,Anamuya,Malo,-68.64482425032722,18.69946799956868
45001,Rinconcito,Bueno,-71.76761685314638,18.958011182406654
NA,Sonador,Bueno,-71.57686691521135,18.70537338791263
543001,Puertecito,Bueno,-71.50987389141285,18.800927705408977
542001,Cajuilito,Bueno,-71.59966095396388,19.082628097317198
543002,Ranchitos,Malo,-71.61729335648299,18.932459010752375
543101,Pozo Hondo,Regular,-71.4859082967421,19.01004562156182
540002,Pedro Santana,Regular,-71.69024165697554,19.102565370666326
NA,El Estrecho,Malo,-70.94146676515459,19.805527752670155
60001,Imbert,Regular,-70.8271353991782,19.29927437838986
400001,El Recodo,Malo,-70.3394455100412,18.373614116647623
NA,Los Jengibres,Malo,-70.04241863614133,19.44385864385017
NA,La Pinta,Malo,-71.55149720296004,19.64413306684839
NA,Manabao,Malo,-70.78759847016742,19.076995110351326
NA,La Espensa,Regular,-71.55427504170541,19.57802092382919
260001,Santa Lucía,Malo,-68.93689792158581,18.68206120192965
240001,El Mamey,Bueno,-68.75111099993157,18.668783707527485
340004,Los Corozos,Malo,-70.12344249298785,18.524661277242902
10001,Don Miguel,Bueno,-71.68350609097438,19.493654217717822
NA,Carbonera,Malo,-71.69400319809785,19.590520996208078
NA,La Aduana,Malo,-71.7114139807028,19.548470107984375
160003,Cinta Negra,Malo,-69.9634334850834,19.280349224766567
NA,Villa Nizao,Malo,-71.18575718417328,18.016619756320054
380011,Bocaina,Malo,-70.47315840726453,18.672802729541132
NA,Jiguey,Regular,-70.37744652745693,18.5459867213011
NA,Aguacate,Regular,-70.32148898005994,18.49588321934627
332321,El Salto,Bueno,-69.60801088451876,18.83987606963797
333101,El Higuero,Malo,-69.9993279320649,18.61657764736889
330001,Don Juan,Malo,-69.9510041330953,18.818117346559127
332101,Los Hidalgos,Malo,-69.66439581491538,18.877134295125604
331001,El Cacique,Regular,-69.86123436367022,18.81733346707351
NA,Valle de Samaná,Malo,-69.33747363077691,19.26322872009464
NA,San Rafael I,Malo,-71.1378689721097,18.02910602342581
NA,San Rafael II,Malo,-71.14120435378965,18.03241151302977
NA,San Rafael,Malo,-71.14116132376083,18.03041559155058
300002,Paso al Medio,Malo,-69.1719311140077,18.567418126607066
47002,Santa Cruz,Bueno,-71.52177174741806,19.623858930420955
45501,Puente Guayubin,Bueno,-71.39815737946486,19.66163346527382
42006,Sabaneta,Bueno,-70.97864295151084,19.545651936966415
42801,La Fortaleza,Bueno,-70.83343833688609,19.04703088785951
40008,Puente San Rafael,Bueno,-71.05941957281902,19.589712891186597
40020,Peña Ranchadero,Bueno,-71.32976611570709,19.65942056709194
43001,Inoa,Bueno,-70.95897185501681,19.32357296695872
40017,Boma,Bueno,-70.662240248888,19.16861321781287
40007,Jinamagao,Bueno,-70.98201886559359,19.54276954331515
41202,Jarabacoa,Malo,-70.67839965072523,19.083569023435757
40010,Palo verde,Malo,-71.55546053368113,19.757777231303525
41740,Mata Grande,Malo,-70.99611455515499,19.19532192244504
45301,Cana Chapetón,Malo,-71.25967330236736,19.597889452335295
42203,Bejucal,Malo,-70.73507018005688,19.182457365293
NA,Rincón,Malo,-71.38662839797276,19.52612651279955
NA,La Antona,Malo,-71.40288877761951,19.630245132176455
NA,Inaje,Malo,-71.46926806991084,19.4213532836642
NA,Jicomé,Malo,-70.94841901869907,19.62801854051002
NA,La Gorra,Malo,-71.4948241273873,19.51829858302312
NA,Bulla,Malo,-71.07707226708085,19.4198249654967
NA,Chorrera,Malo,-71.08481061196363,19.464130619327207
NA,Martínez,Malo,-71.07953261505956,19.470519610938315
NA,Mata de Jobo,Malo,-71.33121050702218,19.46496720957291
NA,Manabao,Malo,-70.78986738758518,19.069727724964583
NA,Paso Bajito,Malo,-70.66399331442774,19.014946232087855
NA,Bao,Malo,-70.79702054421045,19.305795009676952
