Nombre,Estado,entidad,tipo,propiedad,Longtiud,Latitud
NA,activa o bueno,CAEI,pluviométrica,privada,-69.59897,18.67024999999999
NA,activa o bueno,CAEI,pluviométrica,privada,-69.18395666,18.60210394000001
NA,activa o bueno,CAEI,pluviométrica,privada,-69.32053853,18.52682436000001
NA,activa o bueno,CAEI,pluviométrica,privada,-69.5601819,18.69046335000003
NA,activa o bueno,CAEI,pluviométrica,privada,-69.27008615,18.59312483
NA,activa o bueno,CAEI,pluviométrica,privada,-69.46264121,18.51041538
NA,activa o bueno,CAEI,pluviométrica,privada,-69.43877247000002,18.5122708
NA,activa o bueno,CAEI,pluviométrica,privada,-69.39802688,18.51267726000001
NA,activa o bueno,CAEI,pluviométrica,privada,-69.53803022000001,18.59162848000001
NA,activa o bueno,CAEI,pluviométrica,privada,-69.52501212,18.59314739000003
NA,activa o bueno,CAEI,pluviométrica,privada,-69.22685954,18.53882699999998
NA,activa o bueno,CAEI,pluviométrica,privada,-69.53131818,18.66737469000002
NA,activa o bueno,CAEI,pluviométrica,privada,-69.51957825,18.63589299000001
NA,activa o bueno,CAEI,pluviométrica,privada,-69.52050825999999,18.59256338999999
NA,activa o bueno,CAEI,pluviométrica,privada,-69.27129015,18.52131593999999
NA,activa o bueno,CAEI,pluviométrica,privada,-69.55889301,18.62121149
NA,activa o bueno,CAEI,pluviométrica,privada,-69.56821374,18.66181698
NA,activa o bueno,CAEI,pluviométrica,privada,-69.60786372,18.58095958
NA,activa o bueno,CAEI,pluviométrica,privada,-69.23799472,18.54002441000002
NA,activa o bueno,CAEI,pluviométrica,privada,-70.17930000000001,18.321
NA,activa o bueno,CAEI,pluviométrica,privada,-70.2028,18.3083
NA,activa o bueno,CAEI,pluviométrica,privada,-70.1986,18.3396
NA,activa o bueno,CAEI,pluviométrica,privada,-70.2217,18.32929999999998
NA,activa o bueno,CAEI,pluviométrica,privada,-70.2277,18.2783
NA,activa o bueno,CAEI,pluviométrica,privada,-70.24449999999999,18.25720000000002
NA,activa o bueno,CAEI,pluviométrica,privada,-70.24698074999999,18.24268694000001
NA,activa o bueno,CAEI,pluviométrica,privada,-70.18782200000001,18.35632400000002
NA,activa o bueno,CAEI,pluviométrica,privada,-70.163642,18.33951700000001
NA,activa o bueno,CAEI,pluviométrica,privada,-69.62263,18.64301000000002
NA,activa o bueno,CAEI,pluviométrica,privada,-69.41818433,18.54273013999999
NA,activa o bueno,CAEI,pluviométrica,privada,-69.4858822,18.55482345999999
NA,activa o bueno,CAEI,pluviométrica,privada,-69.42933337,18.55270106000001
NA,activa o bueno,CAEI,pluviométrica,privada,-69.42797243,18.57314790000002
NA,activa o bueno,CAEI,pluviométrica,privada,-69.40927016,18.57942692
NA,activa o bueno,CAEI,pluviométrica,privada,-69.43683540999999,18.64076688999999
NA,activa o bueno,CAEI,pluviométrica,privada,-69.43903688,18.67101129999999
NA,activa o bueno,CAEI,pluviométrica,privada,-69.42009682000001,18.61537487000001
NA,activa o bueno,CAEI,pluviométrica,privada,-69.44631663999999,18.59368460999999
NA,activa o bueno,CAEI,pluviométrica,privada,-69.45661627999999,18.69537134
NA,activa o bueno,CAEI,pluviométrica,privada,-69.44524568,18.73182077999997
NA,activa o bueno,CAEI,pluviométrica,privada,-69.43674607,18.70216083000002
NA,activa o bueno,CAEI,pluviométrica,privada,-69.41940914,18.68300414
NA,activa o bueno,CAEI,pluviométrica,privada,-69.39473491,18.69982281000001
NA,activa o bueno,CAEI,pluviométrica,privada,-69.40991945000002,18.71575999
NA,activa o bueno,CAEI,pluviométrica,privada,-69.42772943,18.74101684999999
NA,activa o bueno,CAEI,pluviométrica,privada,-69.39123305,18.66266245000001
NA,activa o bueno,CAEI,pluviométrica,privada,-69.36894713,18.62069458
NA,activa o bueno,CAEI,pluviométrica,privada,-69.37292414,18.68376203
NA,activa o bueno,CAEI,pluviométrica,privada,-69.33940102000001,18.57404206000002
NA,activa o bueno,CAEI,pluviométrica,privada,-69.31270832,18.58697636999999
NA,activa o bueno,CAEI,pluviométrica,privada,-69.311437,18.54462
NA,activa o bueno,CAEI,pluviométrica,privada,-69.31993844,18.61152037999999
NA,activa o bueno,CAEI,pluviométrica,privada,-69.31323966,18.63390959000001
NA,activa o bueno,CAEI,pluviométrica,privada,-69.32827433,18.59361088000001
NA,activa o bueno,CAEI,pluviométrica,privada,-69.32952263000001,18.64136515999998
NA,activa o bueno,CAEI,pluviométrica,privada,-69.21798175,18.57662559
NA,activa o bueno,CAEI,pluviométrica,privada,-69.18480187,18.67372021999999
NA,activa o bueno,CAEI,pluviométrica,privada,-69.20692625000001,18.51755614000002
NA,activa o bueno,CAEI,pluviométrica,privada,-69.24272066,18.51154844999998
NA,activa o bueno,CAEI,pluviométrica,privada,-69.40861196,18.55777778
NA,activa o bueno,CAEI,pluviométrica,privada,-69.50196,18.50637100000002
NA,activa o bueno,CAEI,pluviométrica,privada,-69.51059099999999,18.48191100000001
NA,activa o bueno,CAEI,pluviométrica,privada,-69.462761,18.45941699999999
NA,activa o bueno,CAEI,pluviométrica,privada,-69.42882400000002,18.59325300000001
NA,activa o bueno,CAEI,pluviométrica,privada,-69.380217,18.46860100000001
NA,activa o bueno,CAEI,pluviométrica,privada,-69.40572000000002,18.52338099999999
NA,activa o bueno,CAEI,pluviométrica,privada,-69.38823899999998,18.518636
NA,activa o bueno,CAEI,pluviométrica,privada,-69.52488611,18.593841667
NA,activa o bueno,CAEI,meteoclimática,privada,-69.52488611111112,18.593841666666666
Estación Japonesa,activa o bueno,Universidad ISA,meteoclimática,privada,-70.7482792,19.4431974
Río Ozama en barrera de salinidad,activa o bueno,SGN,hidrométrica,pública,-69.78653120025741,18.571514481695115
Río Haina en Manoguayabo,activa o bueno,SGN,hidrométrica,pública,-70.01934317535616,18.47067675578849
Catanamatias,activa o bueno,INDRHI,meteoclimática,pública,-71.40899209176347,19.04968216678585
Matayaya,activa o bueno,INDRHI,meteoclimática,pública,-71.58844202394849,18.883566788564433
Naranjito,activa o bueno,INDRHI,meteoclimática,pública,-71.49733194161863,19.284128699712824
Sabana Mula,activa o bueno,INDRHI,meteoclimática,pública,-71.55649783010654,19.034124312113633
Higuerito,inactiva o no reportada,INDRHI,meteoclimática,pública,-71.62429832861513,18.990171330170508
La Isabela,activa o bueno,INDRHI,meteoclimática,pública,-71.0639720522013,19.830248415622425
Bayahibe,inactiva o no reportada,INDRHI,meteoclimática,pública,-68.84188738409597,18.40092027055336
Angostura,activa o bueno,INDRHI,meteoclimática,pública,-71.39484751708007,18.26713442014255
Lago Enriquillo,inactiva o no reportada,INDRHI,meteoclimática,pública,-71.6981143836048,18.559285653604093
Puerto Escondido,inactiva o no reportada,INDRHI,meteoclimática,pública,-71.57232680644849,18.321056303079256
La Peñita,inactiva o no reportada,INDRHI,meteoclimática,pública,-70.27560605492654,18.455507162283848
